word 	count	meaning	 posone 	 postwo 	 sentence 
nagbuhat	22	made something; created something	v.		 \tGen 2 21 Ngan an Ginoo nga Dios nagbuhat nga in halarum nga katurogon mahamutang ha lalaki, ngan ini nahi-ngaturog
nakabati	22	was able to hear something	v.		 Usa ka adlaw, nakabati hira han pagbudyong han bantay nga napasabot han pag abot han mga tikasan
paganak	22	after giving birth	v.		 \tGen 5 4 Ngan an mga adlaw ni Adam taliwan niya paganak kan Set, walo ka gatus ka tuig
porma	22	form	n.		An porma han siday Sinisiring nga an siday, hadto anay, usa nga pagdayaw
portahan	22	door	n.		 Hi Man Pura nga ira pinakamagurang say an nag abri han portahan ngan maka ngingirhat an amon hin kit an
salapi	22	money	n.		 Pagpili hin sinsero ngan tangkod nga kandidato 5 Ayaw na kita palipat ngan utro pauwat Taginting han salapi ayaw paghilanat Tagan ta hin doon iya kapasidad Mamuno hin tangkod ngan gobyerno nga ayad 1 Marayhak nga adlaw mga kasangkayan Ha mga bisita ako makikigsumpayan Kaupod hi lola,lolo ngan kabataan Una han ngatanan diyos aton pasalamatan 2 Inin akon siday usa la an tadong Sistema ekolohiya hingadayan naton Inin kalibutan pinupuy-an naton Agsob kalamidad na abot ha aton 3 An mga molopyo narerema dema Kun masugot ka la magka urosa kita Ha bug-os nga nasyon pagdadayawon ka Pati sunod nga henerasyon ma benipisyo pa 4 Una nga tutukibon an pagtaga basura Kemikal,botelya,plastic ug lata ibutang iba-iba Maduronot ug dire paglain lainon na Ha urhe nga panahon kita marayhak pa 5 An mga basura I resaykol naton Utro nga pag gamit sugad permi hiton Agud maka menus,utro repormahon Paglabog bisan diin ,sangkay pudngan naton 6 Katalwasan han kalibutan,aanhi ha aton palad Kun uupayon pag gawi,han aton propriyedad Ayaw pag abusoha kakahoyan,hangin ug kadagatan ta basi ha kalamidad,may pamugong kita 7 Aton siplatan, an aton kadagatan Kontaminado ngan mahugaw ,adton katubigan Adton laman dagat,guba na an urokyan Kun an makagarahom umuba kita makain pa man
sobra	22	1 excess; extra; remainder; remnant; residue 2 to be more than enough; to commit excesses; to exceed; to overset; to surpass; to be a measure beyond 	n.	v.	 Niyan han ada na hira ha edad nga baga sidngon ta makakaasawa na, sidngon ta, sobra na baynti, ikaw Pedro nagdidinalos didto han iya uma
sunod	22	next; follow	mod.	v.	 Iya ini bubuhaton para hiya mabuligan han mga buhi hin pag ampo o pag buhat han mga kinahanglanun para makaluyo ngadto han sunod nga kinabuhi
tawag	22	1 call 2 name	v.	n.	 “Nguyngoy School of Literature” Lachrymose School of Literature an tawag ni Rosario Cruz Lucero hini nga tradisyon nga panurat ni Pinca
tigaman	22	marker	n.		 Ini nga mga imahe nga papakita han magkatugbang nga mga butang, paglibot han panahon, regodon han kahimtang, tigaman han igbaw og ilarom han kinabuhi
umabot	22	arrived (subject focus)	v.	n.	 Sumala han usa nga darahonon “Aada sasabuta, Kon hiya umabot na
utro	22	again; the same	mod.		 Pusilon ko pag utro
aga	21	morning	n.		 Nakahuna huna hiya paghatag hin mga puplonganon ha Waray kada kahuhuman han taramdan, agud magkamay ada baga iba nga rasa an kada aga nga mga sumat
guti-ay	21	small	mod.		 Ala gad daw kuno kay may ‘da hito nira nakit-an nga, guti-ay an syahan
igo	21	1 hit;hit the mark 2 enough; sufficient; exact	v.	modifier	 Ha primero nga igo ha iya, nahalawas— kamison
inop	21	dream; desire	n.		 Nagsiring nga, “Ginpa inop hira nga sumiring ito nga ayaw niyo paglinaboti ito nga bata kay mabubuhi it’ hiya hin iya kalugaringon, kay kada gab i napakanhi gud ako ha balay
kamingaw	21	loneliness;  silence; stillness; nostalgia	mod.	n.	 Adto na’n adlaw, nagligidligid Didto huhuron, luyo han bukid Bunyog panguli an katamsihan Nahadlok bangin magab ihanKon harapit na an adlaw matunod Ngan ha imo hirayo ako Naputok an kakulba ha dughan Ngan kamingaw asay gud dako
kaupod	21	companion; mate; partner; cohort; friend	n.		 Pagsaysay pa ni Lebico nga aada ha 199 nga kaso hin panmatay, torture, kidnapping, harassment ngan iba pa nga mga panalapas han tawhanon nga katungod an na ireport ha panahon han iya pamumuno han 8ID, kaupod hini denhe an pagpataya kan Atty
lakat	21	walk	v.		 Waray pa pagpapawa, biyahe, waray umundang, lakat la
mahal	21	expensive; dear	mod.		 Paghinganhi niya ha tuna, ginsiring niya, “Ginsugo ako han aton baga mahal nga Diyos, an tugon niya ha akon amo ini Tikang kuno yana nga adlaw, kamo nga mga tawo dinhi ha kalibotan, ha tuna, it’ iyo pagkaon, tutulo ka beses kada usa ka adlaw
nagpapakita	21	appears	v.		 Ini nga siday nagpapakita han mayaga yaga ngan mapintas nga panmahongpahong han mga Waray—maigat og mayaang yaang
nasabi	21	previously mentioned	n.		 Agud maharoharani ha sentro han komersyo, bumalhin an nasabi nga istasyon ngadto ha Patria Bldg
pagbuhat	21	do something; doing something	v.		 An importante nagbubuhat ka han imo sining diri para ha imo kalugaringon kun para ha kultura sugad han atun pagkaun o pag inom basi mayda kita kusug pagbuhat han mga butang nga makakabulig pagpauruupay han atun katilingban
pamati	21	1 perception; feeling 2 to feel; to hear; to heed; to detect; to listen;  to obey; to pay attention; to think	n.	v.	 Kun maupay an iya pamati han tunog og ritmo, posible gumamit hiya han pagihap han silaba
panapton	21	clothes	n.		 \tGen 25 25 Ngan an siahan gumowa mapula, an ngatanan niya sugad hin barahi-boon nga panapton
sinirangan	21	east	n.		 Amo ini an lumad o tuminongnong nga yinaknan o pinulongan ha kasagaran han Sinirangan nga Kabisay-an
sinisiring	21	so called	v.		 \t“Hala kay nagparabuot kamo han akon kabut anan…” \tHadto nga panahaon an pagpatay, pagsugba, sinisiring nga taliro
tinon-an	21	disciple; student	n.		 \tMar 2 15 Ngan nahanabu nga han nanling-kod hiya ha lamesa didto ha iya ba-lay, ngan kadam-an man nga mga ma-nurukot han buhis ngan mga makasa-sala in nanlingkod upud ni Jesus, ngan han iya mga tinon-an
baka	20	cow	n.		 ” \t“Pakianhi daw iton Ginoo kun kay ano nga iton akon mga baka di man nananambok
balos	20	1 reply; answer to a letter; recompense 2 reciprocate; return bout; to avenge a wrong	n.	v.	 ” Kaonon ta ikaw kay an balos han maopay, maraot,” siring han buwaya
dalagan	20	run	v.		 Sus, an kapitan, baga hin nasugba ha baga, dalagan diretso, ngalaong, mayor, ginpirohisyo an akon asawa han imo mga gwardya
eksakto	20	exact; right; proper; correct	mod.		 An pangita niya kada adlaw eksakto la han ira panggastos
ihatag	20	give	v.		 Ihatag ha akon an mga tawo, ngan kuhaa para ha imo an mga manggad
ikatulo	20	third 	num.or.		 00 para han ikatulo nga pwesto, P 1,000
katapusan	20	end; termination; conclusion; death	n.		   Iginkab it pa gud niya an katapusan didto han raysang kung diin niya gin sablay an iya manogbanog
kitaa	20	see; examine; look at; fix eyes on; scrutinize	v.		 Nagpipinamati hiya han kondisyon nga kun kaso magsala, pamamatayon ini nga kabataan, an inay nakasabot nga ini nga duha nga gwardya iya gud mga anak,hasta nga nag umagahon, an inay nagplano, nga tanan didto pinangogkay, mga kabinet, mga papel, nga tanan hasta an iya bado, pagka aga, kahuman han sarayaw, abot na an kapitan ngadto han barko, saka, reklamo diretso, ginpirowisyo ako hito nga duduha nga gwardya, kitaa la iton pamisti
magurang	20	eldest	n.	mod.	 Han pagdako na ni Layong Uray, nadidto na hiya upod ha iba nga mga magurang nga kababayen an
mahimo	20	be made possible	v.		 Waray man hira mahimo kay an hadi gud ini nga nagmamandar, sugot nga igsusugba hira
mamatay	20	to die	v.		 Pira ka bulan, hiya…waray iton hiya mamatay hadto nga iya pagbati
pilipino	20	Filipino; a man/woman with Filipino citizenship	n.		 Pag abot ngadto ha talimpongayan kay didto tutubong an pikoy han iya mga piso, pamuruton an gamit han hadi, sul ot tanan hasta kappa, piloon an iya buhok, magkorona ngan dumalagan
salamat	20	thank you	v.		 An ira kamagsangkay baga sali hin mag asawa ba
sanga	20	branch	n.		 An ini nga pikoy nga pikoy paglupad murayaw Natuntong han sanga dagos paparayaw Binuklad an pako, an pako daw hilaw nga dahon An iya pagrayhak nga ak ginkinantahan
tagan	20	give; to be given something	v.		 An ira hunahuna permi may bag o ngan kinadalian nga mga isyu nga angay tagan hin komentaryo
takna	20	hour; period of time	n		 Sumisimbolo hira han hayahay og siguridad nga mawawara ha babayi ha takna nga hiya bumulag
tinuod	20	1 true 2 believed (with what someone is saying)	mod.	v.	 Gawas la han ikatulo nga linya, tinuod an nasabi nga porma ha bug os nga stanza
baga'n	19	1 (contraction of baga hin) like;  similar; same; equal; sort of; it seems  2 ember; live coals  3 lung; respiratory organ	mod.	n.	 Sakto gud an mga detalye nga ginamit ni Lucente—siopaw nga may taguto, naglulutaw lutaw nga bangka ha mantika, ulod ha pansit, sabaw nga bagan sagmaw
bubon	19	well; open well	n.		 May bubon didto han harani han amon kodal ha atbang han balay
bulig	19	aide; assistance; contribution; help; participation	n.		 Nagpapadayon ini nga paisan isan ha kada tuig pinaagi han bulig nira Art Pacho ug mga kasangkayan upod han gobyerno han probinsya han Leyte, DYVL Aksyon Radyo ug Bebs Custodio, an kauropdan ni Eduardo Makabenta Sr
ibutang	19	the act of laying, placing or putting on something	v.		 Pag-abot ngadto tabok, ibutang an bata
kanta	19	song	n.		 O kay ano naghihimo hin kanta an usa nga musikero
klase	19	class; category; rank; kind/variety	n.		 Yana, an ngaran nga siday ginagamit na para pagtudlok han tanan nga klase ngan porma hin pagsiday— tradisyonal man o moderno an istilo
lain	19	different	mod.		 Mga nagtatraysikol ha kada pamasada Lain lain nga tawo ginsisirbihan nira Pasahe nga guti ay, ibinabayad ha ira Pakabuhi nagtuptop pagbuhi ha pamilya
linya	19	1 line; 2 verse 3 route	n.		 Han magtikang pagkaabot han mga kontribusyon, diri la tag usa, duha, o tulo ka mga linya an ira iginpapadara—bug os gud nga siday
luha	19	tears	n.		 Bok a an dughan co base mo Makita An waray malabao acon paghigugma Kita a sa mata co an purao nga luha Tigaman nga icao acon pinalangga
mahusay	19	beautiful; pretty	mod.		 Hadto nga panahon may mag asawa, an lalaki Mayor, an babayi mahusay ngan may kwarta
manggad	19	1 to hope despite hopelessness 2 fortune; wealth; treasure	v.	n.	 Kusog ngan kaisog manggad han Corazon Pagdugang san pama, pag agaw sang honor Pag agaw san honor mga kadungganan Ay kansar bano ning kalibutan
mismo	19	sameself; at that time	mod.		 Hinihimo han paragsiday an iya pagdayaw ha butnga mismo han iya pagluwa dida han okasyon
naabot	19	arrived (at a place or something); reached	v.		 Kun naabot na an mga tikasan, gintatago niya hi LayongOray ha ilarom hit mga puno nga dagko, nga naigbaw it mga ugat
nagin	19	became; turn into	v.		 Bata pa hiya nga nagin kaparte han DYVL
nawong	19	face	n.		 Sanglit han pagsalidsid han mapawa nga adlaw Higtaas nga bukid luub hin kasilaw Paghuni han gangis upud an kamingaw Duyog an pagtangis gindumdom ko ikawginbubusyo kana liwat, ayaw palipat makasurumo munyekaon mo nga nawong bisan hino malulurong, baga baga liwat kan chaka doll danay ka ha akon maglibak, dagus tak dila makagat nakakakabadtrip ka
paggamit	19	 utilized; the utilization	v.	n.	 Saki na ha paragsiday an paggamit hin tugma
pakiana	19	1 question 2 ask question	n.	v.	 Pagkadto han padi han, kun baga yana, sentro pakiana hiya, “Doktora, ano an resulta han akon ihi
parag-uma	19	garmer	n.		 Hi Pedro parag-uma
presidente	19	president	n.		 Alberto Compas, presidente han Merchant Marine School ha Las Piñas, Metro Manila
salog	19	1 river 2 floor	n.		 May manunodsod dida ligid han salog han Can omantag han baga harayo pa pagkita niya
sugo	19	errand; order; command; decree; commandment	n.		 Pati hira kinakaon pa hiton mga tawo tungod la hadto han iya pagsayop, baga, pagmensahe dinhi han mga tawo han sugo ha iya
sumat	19	news; tell	v.		 An pamahaw ha Samar og Leyte permi binabahogan hin mga sumat tikang ha telebisyon o radyo
ubos	19	1 consume; exhaust;  to finish 2 below; poor, humble, needy, inferior, miserable	v.	mod.	 Lubngi gad niyo kay an amon tanom iyo gin ubos
urhi	19	last; late; latest; hindmost; rearmost	mod.		 Dida hinin mga urhi nga mga tuig, nagtikang makaangkon hin mga pasidungog an DYVL
baba	18	1 mouth 2 to carry something/someone on one\'s back	n.	v	 pastilan gad mano, hinugay gad hin buwa, Pastilan gad, it imo baba ighihiyabura la, puros man la iton buwa
binaton	18	replied; responded	v.		 Siyempre, binaton ako niya hin “amo la gihapon
bunga	18	fruit	n.		 Nagtanom liwat ito hi Tatay hin mais, damo liwat an bunga hito nga mais
ganghaan	18	passageway; walkway	n.		 Ngan kon waray mo buhata an maopay, an sala aada ha ganghaan
ginbuhat	18	was made; was created  (object focus)	v.		 “Ma, kitaa na gud an ginbuhat ni Mano han akon munyeka
kinadto	18	went there	v.		 Napausa an hadi kun kay ano nga ini nga rasyon nagdodoble man, di kinadto
komo	18	as; like	l.		 Nanguna hini, hira Pax ngan Rebecca Pacanan, magtiayon nga tuptop nga nagserbi komo konsehal han syudad han Tacloban
matungod	18	about; because of ; for a reason; due to	mod.		 Nagpadayon ngan nagin maribhong ini nga paisan isan hin siday diri kay matungod han premyo
nagdara	18	brought (something); resulted to; caused something to happen	v.		 Pero yana nga haros upat na ka decada an naglabay, an akon panan aw hadto nga hitabo kanan eduran na ngan mas halarum  na an pag intiende han mga serkumstansya nga nagdara hin sugad hadto nga hinatnan
nagkaada	18	something came into existence	v.		 Cabardo, usa nga historiadora hin Waraynon, an balac nagpabilin ha iya porma bisan pa man kon nagkaada ini hin mga bag-o nga tawag ngan naghuram hin mga aspeto han mga yinaknan han mga nagkolonisar
nanganak	18	gave birth; stood as sponsor in a baptism	v.		 Kataliwan, nanganak iton hira, nanganak
nasud	18	nation; country	n.		 10 Nanaringsing ini hira dida han magtikang makaangkon hin kamandoan an duha nga pinulongan— an English ngan han Filipino, an opisyal nga pinulongan han nasud
natawo	18	born	v.		 Hi Merlie Alunan, diri tuminunong nga Waraynon, pero an iya paghigugma han Waraynon nga kultura sobra pa han paghigugma han mga natawo dinhi hini nga dapit
oo	18	yes; affirmative	mod.		 Ngan bumaton hin oo adto pa ha ira
pakadto	18	1  on the way 2 go (to a place)	mod.	v.	 Pagsaysay pa ni Lebico nga labot pa han kawaray permit naghahadi hadi pa an mga dagko nga kompanya hin mina nga naabot ha punto nga ginpupudngan han ira mga armado nga guardya an mga gudti nga mga nag mimina ha lugar, ginharangan an mga aragianan pakadto ha minahan, ginkokontrol an pan presyuhan han chromite ngan an mga nareklamo nga mga trabahante, supplier ngan barangay opisyal in gintatarhog, ginpapa blotter ngan may ada na mga ginpankasuhan hin mga hinimo himo nga kaso
panimalay	18	household	n.		 Naging kaparte han kada panimalay an may pagmayuyo og pagtagad nga tingog han DYVL
pipito	18	seven	num.reg.		 \tGen 41 26 An pito nga magopay nga baka amo an pipito ka tuig
tiil	18	foot/feet	n.		 ” Nga’long, “Kay di na man hiya nakakalakat, kay adi nadadat ogan it iya tiil hiton bato
alas	17	1 mark time   2 ace	mod.	n.	 Ito nga Can omantag Tagurabong , an syahan nga nagbungkag hito hi Kardagaw, nagsuhol hiya hin mga tawo, kahuman han kabungkag hito, may balay dida ligid han kalsada, mga lagas ada adto an nangungukoy, napapausa hiya kun ano ini nga nahinarapas, paghiling niya, mga tawo, mga alas dos ada adto hin maagahon, may natukdo hin baol, tibod, nga tanan nga butang ha balay, baga hin nagproposisyon, an iba natugwaya hin bata
andam	17	prepare; prepred		mod.; v.	 Kulopay pa la, andam na an ira mga tagudara--petromax, balon nga pag-ka-on, mga sugob, surodlan han dakop, upod na in pipira nga sulo
asay	17	1 to prefer; preference 2 to eat mostly with viand with regard to rice	v.	n.	 Gindadara, asay pa an mga kababayin an
dugo	17	blood	n.		 Pamati niya, baga hin may naawas nga dugo dida han tungod
gahum	17	power	n.		 Ha pag abot han takna, an Waray nga pinulongan sugad han iba nga mga linggwahe, nahukasan han iya dignidad ngan gahum
ginbendisionan	17	was consecrated  (object focus)	v.		 \tGen 2 3 Ngan ginbendisionan han Dios an ikapito nga adlaw, ngan gin paka-baraan ito
ginhadian	17	kingdom	n.		 May ‘da didto ginkuanan, inin, usa nga ginhadian nga, inin, harani hiton nga lagas
haros	17	almost	mod.		 Masyado naman ini nga akon trabaho, kun haros adlaw, gab i
hirani	17	near	mod.		 Nakadi han ira payag, hirani han bukid han Adel
hirayo	17	far; distant	mod.		 Ha tanto han iya dalagan, hirayo na hiya hin duro
iini	17	here it is; this is it	pro.d.		 Ta, kay nadiri ka man, iini dinamo ko la
kadamo	17	1 quantity; amount; 2 much; how much	mod.		 “Tungod han kadamo han napadara,” pag asoy pa ni Ms
katungod	17	right	n.		 Han pagdad a han mga tikasan kan Layong Uray, kumaruyag an dato ha iya katungod han iya kamahusay ngan kamabusag
kauyonan	17	agreement	n.		 \tGen 6 18 Kondi akon tutukuron an akon kauyonan ha imo
magawas	17	will come out	v.		 \tGen 15 14 Ngan ito nga nasud man, nga ira pagaalagdon, akon paghuhukman ngan kataliwan hira magawas upud an daku nga kamanggaran
makita	17	will see; be able to see	v.		 Sumiring hiya, nga l’ong, “Hindaw, makita ako hit’ iya hubag
nagsugo	17	1 someone who tasked somebody for an errand 2 tasked somebody for an errand	n.	v.	 \tGen 2 16 Ngan an Ginoo nga Dios nagsogo han lalaki, nga nasiring Ha tagsa nga kahoy han tanaman makakahimo ikaw pagkaon hin waray makauulang,\t
nagukoy	17	lived	v.		 \tGen 4 16 Ngan hi Kain umiwas ha atubang han Dios, ngan nagukoy ha tuna ha Nod, ha may sinirangan han Eden
nahadlok	17	afraid	mod.		 An ngatanan in nahadlok nga hiya mag isog
paghimo	17	after doing or, making (something); do or, make (something/anything)	v.		 Ini hira an naghahablon hin abaka nga gingagamit paghimo han ira mga bado
pakabati	17	was able to hear	v.		 \tGen 27 34 Han kan Esaw pakabati han mga polong han iya amay, hiya nagsing-git hin duro gud kadaku ngan ma-pait nga singgit, ngan siniring ha iya amay
paragsiday	17	poet	n.		 Hinihimo han paragsiday an iya pagdayaw ha butnga mismo han iya pagluwa dida han okasyon
pipira	17	in limited number	mod.		 Nangangamote hi Tatay, pipira pa la ka bubon—duha na ka lata
sala	17	1 hall; drawing room; part of the house were visitors are received 2 sin; wrong;error; blunder; fault;  misconduct; misdeed; mistake	n.		 ” Usa ka panahon, aga, nagsiring hiya han iba nga mga surugoon, “Kadtoa an hardinero, paaroti ngan pasak a nganhi ha akon kay may ada niya sala
sinulud	17	entered	v.		 \tGen 7 7 Ngan hi Noe sinulud ha arka, ngan an iya mga anak nga lalaki, ngan an iya asawa, ngan an kaasawan han iya mga anak nga lalaki kaupud niya, tungud han mga tubig han lunop
bado	16	clothes	n.		 Ini hira an naghahablon hin abaka nga gingagamit paghimo han ira mga bado
bayhon	16	cheek	n.		 Amo na ito’n, kumanta, Ano ba Rosaura an gintatangisan mo Sa bayhon mo lamang Nga may pagkabido
birhen	16	virgin; maiden; damsel; lass; Virgin Mary 	n.		 Dinhi ha Tanauan, nausa an mga tawo nga ini nga birhen damo an amorsecos
buaya	16	crocodile	n.		 Ta, ini man nga buaya binuhi niya
dagmit	16	to hurry; to rush; to quicken;  2 hurry up!; quick!	v.	mod.	 ” Ha dagmit nga himangraw, tinugot gihapon
ginawas	16	got out  (object focus)	v.		 Pag uuli niya tikang manmukot iya gindadanas an iya baluto, usa nga subiran, hapit han iya balay ngan iya ginbabalighot an mga pisi palibot han duha nga poste kun diin natungtung ini
halaba	16	long; tall; length	mod.		 Iton nga babaye, halaba an buhok hiton niya
inday	16	 term of address/endearment to a younger female,i.e., younger sister, daughter or, niece	n.		 Ako magtatanom lawiswis kawayan Akon la kan pikoy palataylatayan Sabahis nga pikoy ka waray batasan Sinmulod ha kwarto, kan inday higdaan
kaupayan	16	welfare	n.		 Kun diri man, ini kay para han pagkaurosa ngan kaupayan han ngatanan
kaupud	16	companion	n.		 \tGen 3 12 Ngan an lalaki siniring An ba-baye nga iginhatag mo nga kaupud ko, hiya naghatag ha akon han bunga han kahoy, ngan ako kinaon
linakat	16	left; walked away	v.		 Kinabuwasan, sayo pa hi Man Jess linakat
literatura	16	literature	n.		 Tikang dida han syahan nga mahibatian an siday ha kahanginan dida han dekada 70, an nasabi nga taramdan han DYVL amo an nag alagyam hini nga literatura han rehiyon
lolo	16	grandfather	n.		 Nakalakat na an iya lolo ngan tiyo para ha trabahoan
mabuhay	16	Interjection/Expression: Long Live!			Bahal Nga Tuba by Mabuhay Singers Bahal nga tuba, bahal nga manamit Nga kon lag-okon, diri gud nahapit
naglabay	16	past; history	n.	mod.	 Iginhahalad ini para han Waraynon nga kultura kay ini an magsusumpay han yana, han naglabay ngan han buwas, hingain ka man ha Pilipinas ngan ha kalibotan, tikang ha usa nga linggwahe ngadto hin usa pa, tikang hin usa nga komunidad ngadto hin usa pa, an aton nasyon an aton pag iiliwon diin man nga parte han kasaysayan ngan han kontemporaryo nga pag ukoy
nakilala	16	knows (the person); acquintance	v.	mod.	 Takay, nakilala an babayi han mayor, akon ito asawa, kun ito nga duduha nga bata, magkaruha ito, akon ito mga anak
nati	16	calf	n.		 \tGen 15 9 Ngan hiya siniring ha iya Kuha-an ako hin nati nga babaye nga baka tolo ka tuig an panuigon, ngan hin babaye nga kanding tolo ka tuig an panuigon, ngan hin lalaki nga karnero tolo ka tuig, ngan hin usa nga tokmo, ngan hin usa nga piso pa nga sarapati
pikoy	16	parrot	n.		 Hala, kay may pikoy nga nagtutubong dida han buho
puros	16	all	mod.		  An Iroy nga Tuna matam is pagpuy an Bisan diin siplat puros kasangkayan Hahani an hingpit nga ak kalipayan Hahani hira nanay pati kabugtuan
rason	16	reason	n.		 Nalihis an iya panlapdos, imbis nga an insik an paglatigohon, an mga taga Manila asay ginhimurangtan, rason niya—mapuputo kan Herodes ini nga mga kainsikan kun malimpyo nga pagkaon an ira ibabaligya
sakit	16	1 disease; ache; ailment; infirmity; malady; pain; illness 2 hardship	n.		 BATA NGA TAMBALAN When I was only about eight years old, an akon mother, may ‘da beri-beri nga sakit
tikadto	16	1 on the way; about to go there; bound for  2 intend to go there	v.		 Nagdadlagan ini hira tikadto ha Musongbusong, ha igbaw han Manlara
aw	15	expression that means \\\"i thought it was\\\"; use to express acknowledgment and/or to rectify an error	intrj.		 Nagsiring, nga laong, “Lola, ayaw gad hiton,” aw apoy, kay diri man lola, “Apoy ayaw gad hiton nga kanta
bumalik	15	1 to return; to go back; to come back 2 returned; to went back; came back	v.		 Nasiring ko ini kay hiya an usa han naniguro nga bumalik magsurat ha Winaray an mga kabataan dinhi ha aton dapit
daan	15	old; in advance	mod.		 Hilarom an iya kinaadman bahin han kahimtang hin usa nga maribhong ngan buhi nga tradisyon hin Literatura—aktibo nga tradisyon hin pagsurat, mga batan on nga presente nga nagsusurat og nag eeksperimento hin mga porma, publikasyon nga aktibo, intelektwal ngan kritikal nga pagtirutimbang han literatura nga balor han daan og bag o nga mga sinurat, ngan labaw han ngatanan, mag aram og napaid nga mambabasa
ginsugo	15	tasked to do something	v.	n.	 1. Sugad han nga tanan nga kanan Dios ginsogo ha iya, iya ginbuhat. 2 Hiya an ginsugo niya nanay panukot.
hingyap	15	desire; dream; ambition; aspiration; crave	n.	v.	 19 Para ta maabot, hingyap nga kauswagan, Kita pagsakripisyo, pagtadong hit dalan, Malimpiyo nga tinguha, mayor pa’n bulawan Kinasingkasing nga pag antos, dayuday naunhan
huna	15	(var. hunahuna) idea; belief; notion; mind	n.		 Amo, sinaka nira han lubi kay an ira huna maabot gud
iginsumat	15	(something) was told to somebody  (object focus)	v.		 Waray gud ka papara ha ak hunahuna an pakiana nga – ano daw la kun iginsumat ko bisan la kan Mama an akon nababaroan
importante	15	important; significant; vital	mod.		 Pero’n importante di kita mag turaw, Samtang nga buhi pa ug nakakagakaw, Basta la malimpiyo an kina on ha kinaadlaw, Diyosnon nga tinguha naunhan, nabawbaw
kadi	15	come here; come closer	v.		 Kabugtu an kadi anay, pamati madali ay
kamatuoran	15	truth; reality	n.		 Ha luyo nga bahin, masisiring nga may kamatuoran ini nga pagbana bana dara nga human han mga sumat nasunod dayon ini nga taramdan han siday
kamelyo	15	camel	n.		 \tGen 12 16 Ngan ini nagdara hin maopay kan Abram tungud han iya asawa ngan hiya nagkaada mga karnero ngan mga baka, ngan mga lalaki nga asno, ngan mga sorogoon nga lalaki, ngan mga sorogoon nga babaye, ngan mga babaye nga asno, ngan mga kamelyo
kanay	15	1 whose 2 scatter; break up;disassemble	pro.i.	v.	 Kan kanay ta isasayop ini nga paglimot
kasangkayan	15	friends	n.		 Dumaraon an mga kasangkayan han DYVL ngan nagdugang hin pondo para han senimana ngan kinadabulan nga premyo
kay ano	15	why?	pro.i.		 Dida hira panhaw-as, ambot kun kay-ano
kuhaa	15	(a command; asking someone) to get (something)	v.		 Nadisgrasya, may umagi nga barko kay isla man, ginkinampay ito kay magbabaligya hiya’n kwentas, o ibabalyo hin bugas, dumuong an barko, pagduong kuhaon niya an kwentas, ngalaong, ibabaligya ko ini, o sino man balyoa hin bugas, mga de kantidad, puro mga kadaan pa
kunta	15	it should have been; it should be; as if	l.		 “Imbes  nga mag warning la  kontra hin kuno “trial by publicity”, mas maupay kunta gamiton han AGFO  an iya impluwensya nga atubangon han iya myembro  nga  hi Ret
leon	15	lion	n.		 An pagsusol, an pagtatagoa ngay an nira kay hadto usa ka beses nasiring nga may ‘da kuan rabbit, nga inin nagmiminakaluoy ha leon nga, “Ayaw gad, leon ayaw gad ako pagkaona
lubi	15	coconut	n.		 Nailiw na an kasingkasing ko Lubi lubi lubi, lubi lingkuranay Ayaw gad pagsak i, kay hibubo ay
lungib	15	cave	n.		 An amon atubangan, may ada lungib
mabalik	15	1 will come back; will return 2  to come back; to return	v.	mod.	 Pag abot ngadto tabok, ibutang an bata, mabalik na unta para han usa, hala gad daw kay dinmaralwa, naanod ito nga itay, nagkabulag an duha nga bata, waray na iroy, waray an amay, nagkabulag pa gud hira
mamingaw	15	quiet; silent; lonely; noiseless	mod		 Pagkabuwas, mamingaw na an panimalay han pagbuhat niya
nadiri	15	does not want to; dislikes; hates;scorn	v.	mod.	 ” Ambot kun kahubya la ini hiton akon ginpapakianhan o nadiri hiya la hira nga an sabi nga butang paghimangrawan
napakadto	15	went (there)	v.		 Bisan an mga kamikaze pilots, nagpakakita kami nga napakadto han barko
nga tanan	15	all			 \tGen 1 21 Ngan an Dios naghimo han gidadagkoii nga mga mananap ha dagat, ngan han nga tanan nga buhi nga mananap nga nagkikiwa, ito ngata-nan binuhat han mga tubig hin da-mo, sugad han ira kalainan, ngan an ngatanan nga pako-an nga tamsi sugad han ira kalainan ngan kinita han Dios nga maopay
pagkuha	15	to get; to take	v.		 Kay sugo man pagkuha hin ihi, pumalit hin arinola an padi, didto hiya iihi kay ipriprisentar na ngadto han pinakadoktor
pag-uli	15	to restore; to return an object; to return; to go home	n.	v.	 Pag-ikaduha, tumungtong la gihap hiya didto pag-uli
patok	15	rival; enemy	n.		 Sumala hin nag-imbestiga hin literatura, mayda mga dapit han Samar, nga an balac o ismayling ginliwat agod makapahayag hin mga sentimyento patok hin imperyalismo nga diin an babaye nagtitigaman han iroy nga tuna ngan an lalaki amo an patriota nga nagsasaysay han iya gugma han nasod
payag	15	a small nipa hut; house; a small shelter	n.		 May nira payag
tinagan	15	given or granted (with something)	v.		 Ngan tinagan ini namon hin iya kalugaringon iwag ha kahanginan
tinikangan	15	beginning; place of origin	mod.		Makikita ha igbaw nga listahan an dirudilain nga tinikangan han mga paragsiday han DYVL
